# Total: 127 callsites. Buckets: {'api/': 4, 'plugins/': 98, 'src/': 25}. Generated for POCOR-9694.
file,line,function,context_snippet,proposed_replacement
api/swagger_retry.php,19,exec,exec('php artisan l5-swagger:generate 2>&1'; $output; $retur,keep-cli-only
plugins/ProfileTemplate/src/Model/Table/StaffProfilesTable.php,1261,exec,$pid = exec($shellCmd);,system_processes-row
plugins/ProfileTemplate/src/Model/Table/StaffProfilesTable.php,1350,exec,$pid = exec($shellCmd);,system_processes-row
src/Command/GenerateProfileCommandBase.php,234,exec,$result = exec($shellCmd);,system_processes-row
src/Command/GenerateProfileCommandBase.php,251,exec,"exec(""kill -15 $pid"");",system_processes-row
plugins/ProfileTemplate/src/Model/Table/ClassesProfilesTable.php,1145,exec,$pid = exec($shellCmd);,system_processes-row
plugins/ProfileTemplate/src/Model/Table/StudentProfilesTable.php,1339,exec,$pid = exec($shellCmd);,system_processes-row
plugins/ProfileTemplate/src/Model/Table/StudentProfilesTable.php,1343,exec,//$pid = exec($shellCmd; $output; $return_var);,keep-cli-only
plugins/ProfileTemplate/src/Model/Table/StudentProfilesTable.php,1447,exec,$pid = exec($shellCmd);,system_processes-row
src/Model/Table/SystemProcessesTable.php,69,exec,exec($pCmd);,system_processes-row
src/Model/Table/SystemProcessesTable.php,72,exec,exec($cmd);,system_processes-row
plugins/ProfileTemplate/src/Model/Table/ProfilesTable.php,996,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,567,exec,exec($full);,system_processes-row
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,586,exec,exec($full);,system_processes-row
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,751,exec,exec($shellCmd);,system_processes-row
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,764,exec,exec($shellCmd);,system_processes-row
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,1678,exec,//        $pid = exec($shellCmd);,keep-cli-only
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,1761,exec,//        exec($shellCmd);,keep-cli-only
plugins/Archive/src/Model/Table/DataManagementCopyTable.php,1930,exec,//        exec($shellCmd);,keep-cli-only
plugins/Archive/src/Model/Table/BackupLogsTable.php,187,exec,exec($shellCmd);,system_processes-row
plugins/Archive/src/Model/Table/TransferLogsTable.php,360,exec,exec($shellCmd);,system_processes-row
plugins/Archive/src/Model/Table/TransferLogsTable.php,374,exec,exec($shellCmd);,system_processes-row
src/Shell/DatabaseSqlDumpShell.php,29,exec,exec('mysqldump --user='.$username.' --password='.$password.,delete-with-shell
src/Shell/GenerateAllInstitutionReportCardsShell.php,77,exec,"exec(""kill -15 $pid""); // Works on Unix-like systems",system_processes-row
src/Shell/GenerateAllInstitutionReportCardsShell.php,92,exec,$pid = exec($shellCmd);,delete-with-shell
src/Shell/GenerateAllClassProfilesShell.php,85,exec,"exec(""kill -15 $pid""); // Works on Unix-like systems",system_processes-row
src/Shell/GenerateAllClassProfilesShell.php,98,exec,$pid = exec($shellCmd);,delete-with-shell
plugins/Risk/src/Model/Table/RisksTable.php,474,exec,"exec(""kill -9 "" . $pid);",system_processes-row
plugins/Risk/src/Model/Table/RisksTable.php,648,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Risk/src/Model/Table/RisksTable.php,662,exec,$pid = exec($shellCmd);,system_processes-row
plugins/Risk/src/Model/Table/RisksTable.php,706,exec,"exec(""kill -9 "" . $record->pid);",system_processes-row
plugins/AcademicPeriod/src/Model/Table/AcademicPeriodsTable.php,528,exec,$pid = exec($shellCmd);,system_processes-row
plugins/AcademicPeriod/src/Model/Table/AcademicPeriodsTable.php,1259,exec,$pid = exec($shellCmd);,system_processes-row
src/Shell/GenerateAllStudentReportCardsShell.php,78,exec,"exec(""kill -15 $pid""); // Works on Unix-like systems",system_processes-row
src/Shell/GenerateAllStudentReportCardsShell.php,91,exec,$pid = exec($shellCmd);,delete-with-shell
src/Shell/GenerateAllReportCardsShell.php,98,exec,"exec(""kill -15 $pid""); // Works on Unix-like systems",system_processes-row
src/Shell/GenerateAllReportCardsShell.php,111,exec,$pid = exec($shellCmd);,delete-with-shell
src/Shell/GenerateAllStaffReportCardsShell.php,76,exec,"exec(""kill -15 $pid""); // Works on Unix-like systems",system_processes-row
src/Shell/GenerateAllStaffReportCardsShell.php,89,exec,$pid = exec($shellCmd);,delete-with-shell
src/Shell/TriggerUpdateSubjectStudentTotalMarkShell.php,73,exec,$pid = exec($shellCmd);,delete-with-shell
src/Shell/AutomateReportCardGenerationShell.php,66,exec,$pid = exec($shellCmd);,delete-with-shell
src/Shell/AutomateReportCardGenerationShell.php,146,exec,$pid = exec($shellCmd);,delete-with-shell
plugins/Cache/src/Controller/CachesController.php,46,exec,exec('git pull'; $output);,laravel-scheduler
src/Templatebkp/Element/page_js.php,120,exec,return decodeURIComponent((new RegExp('[?|&]' + name + '=' +,keep-cli-only
